key,scientificName,longitude,latitude,coordinateUncertaintyInMeters,eventDate,year,source,dataset,URL
3968396,Deinandra increscens,-120.4663,34.4533,3989,2020-06-27,2020,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=3968396
3977404,Woodwardia fimbriata,-120.4663,34.4533,3989,2020-06-27,2020,CalFlora,Santa Barbara BG,https://www.cch2.org/portal/collections/individual/index.php?occid=3977404
po158369,Dudleya caespitosa,-120.498991,34.508505,NA,2020-05-26,2020,CalFlora,NA,https://www.calflora.org/entry//entry/occdetail.html?seq_num=po158369
po158373,Equisetum telmateia ssp. braunii,-120.439582,34.508959,NA,2020-05-26,2020,CalFlora,NA,https://www.calflora.org/entry//entry/occdetail.html?seq_num=po158373
po158374,Torilis arvensis,-120.439324,34.509012,NA,2020-05-26,2020,CalFlora,NA,https://www.calflora.org/entry//entry/occdetail.html?seq_num=po158374
po158372,Geranium molle,-120.439652,34.508791,NA,2020-05-25,2020,CalFlora,NA,https://www.calflora.org/entry//entry/occdetail.html?seq_num=po158372
po151378,Venegasia carpesioides,-120.441617,34.509974,NA,2020-03-20,2020,CalFlora,NA,https://www.calflora.org/entry//entry/occdetail.html?seq_num=po151378
po151377,Thalictrum fendleri,-120.488341,34.513824,NA,2020-03-20,2020,CalFlora,NA,https://www.calflora.org/entry//entry/occdetail.html?seq_num=po151377
po151381,Leptosyne gigantea,-120.48746,34.513799,NA,2020-03-20,2020,CalFlora,NA,https://www.calflora.org/entry//entry/occdetail.html?seq_num=po151381
po151379,Chlorogalum pomeridianum,-120.408648,34.524948,NA,2020-03-20,2020,CalFlora,NA,https://www.calflora.org/entry//entry/occdetail.html?seq_num=po151379
po151384,Ribes speciosum,-120.409205,34.525192,NA,2020-03-20,2020,CalFlora,NA,https://www.calflora.org/entry//entry/occdetail.html?seq_num=po151384
in:39901395,Cakile maritima,-120.473174,34.461131,2,2020-03-07,2020,CalFlora,iNaturalist,https://www.inaturalist.org/observations/39901395
in:39901514,Mesembryanthemum crystallinum,-120.473539,34.467213,2,2020-03-07,2020,CalFlora,iNaturalist,https://www.inaturalist.org/observations/39901514
in:38739740,Pickeringia montana,-120.489356,34.51308,24,2020-02-16,2020,CalFlora,iNaturalist,https://www.inaturalist.org/observations/38739740
in:38739745,Typha domingensis,-120.489627,34.512763,8,2020-02-16,2020,CalFlora,iNaturalist,https://www.inaturalist.org/observations/38739745
OBI161704,Venegasia carpesioides,-120.454892,34.529129,3989,2019-10-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3677852
mu3356,Deinandra increscens ssp. villosa,-120.4664,34.4668,NA,2019-06-07,2019,CalFlora,NA,https://www.calflora.org/entry//entry/occdetail.html?seq_num=mu3356
UCSB064263,Artemisia californica,-120.454982,34.529129,3989,2019-05-19,2019,CalFlora,UCSB,https://www.cch2.org/portal/collections/individual/index.php?occid=5366361
OBI161631,Rumex conglomeratus,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630508
OBI161696,Lactuca serriola,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630509
OBI181402,Malva nicaeensis,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630510
OBI174294,Eucrypta chrysanthemifolia,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630511
OBI161628,Artemisia californica,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630512
OBI161681,Madia gracilis,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630513
OBI181404,Convolvulus arvensis,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630514
OBI161667,Acmispon wrangelianus,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630516
OBI161668,Elymus glaucus,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630517
OBI161669,Stipa miliacea,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630518
OBI161670,Koeleria gerardii,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630519
OBI161666,Phacelia hubbyi,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630520
OBI161683,Asclepias fascicularis,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630521
OBI161671,Platanus racemosa,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630522
OBI161706,Venegasia carpesioides,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630523
OBI161697,Cirsium vulgare,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630524
OBI161698,Salix lasiolepis,-120.454892,34.529129,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630525
